Replicate,Clone,treatment,CRISPR,Sensitive,SM
5,5,L,1,0,0
5,6,L,1,0,0
5,7,L,1,0,0
5,8,L,0,1,0
5,9,L,0,0,1
5,10,L,1,0,0
5,11,L,1,0,0
5,12,L,1,0,0
5,13,L,1,0,0
5,14,L,0,1,0
5,15,L,0,1,0
5,16,L,0,1,0
5,17,L,1,0,0
5,18,L,NA,NA,NA
5,19,L,NA,NA,NA
5,20,L,NA,NA,NA
5,21,L,NA,NA,NA
5,22,L,NA,NA,NA
5,23,L,NA,NA,NA
5,24,L,NA,NA,NA
6,1,L,NA,NA,NA
6,2,L,NA,NA,NA
6,3,L,NA,NA,NA
6,4,L,NA,NA,NA
6,5,L,NA,NA,NA
6,6,L,NA,NA,NA
6,7,L,NA,NA,NA
6,8,L,NA,NA,NA
6,9,L,NA,NA,NA
6,10,L,NA,NA,NA
6,11,L,NA,NA,NA
6,12,L,NA,NA,NA
6,13,L,NA,NA,NA
6,14,L,NA,NA,NA
6,15,L,NA,NA,NA
6,16,L,NA,NA,NA
6,17,L,NA,NA,NA
6,18,L,NA,NA,NA
6,19,L,NA,NA,NA
6,20,L,NA,NA,NA
6,21,L,NA,NA,NA
6,22,L,NA,NA,NA
6,23,L,NA,NA,NA
6,24,L,NA,NA,NA
1,1,4,1,0,0
1,2,4,1,0,0
1,3,4,0,0,1
1,4,4,1,0,0
1,5,4,1,0,0
1,6,4,1,0,0
1,7,4,1,0,0
1,8,4,1,0,0
1,9,4,0,0,1
1,10,4,1,0,0
1,11,4,1,0,0
1,12,4,1,0,0
1,13,4,1,0,0
1,14,4,1,0,0
1,15,4,1,0,0
1,16,4,1,0,0
1,17,4,1,0,0
1,18,4,0,1,0
1,19,4,0,0,1
1,20,4,1,0,0
1,21,4,1,0,0
1,22,4,1,0,0
1,23,4,1,0,0
1,24,4,1,0,0
2,1,4,1,0,0
2,2,4,1,0,0
2,3,4,1,0,0
2,4,4,0,0,1
2,5,4,1,0,0
2,6,4,1,0,0
2,7,4,1,0,0
2,8,4,0,0,1
2,9,4,1,0,0
2,10,4,1,0,0
2,11,4,1,0,0
2,12,4,1,0,0
2,13,4,1,0,0
2,14,4,1,0,0
2,15,4,1,0,0
2,16,4,1,0,0
2,17,4,1,0,0
2,18,4,1,0,0
2,19,4,0,1,0
2,20,4,1,0,0
2,21,4,1,0,0
2,22,4,1,0,0
2,23,4,1,0,0
2,24,4,1,0,0
3,1,4,0,0,1
3,2,4,1,0,0
3,3,4,1,0,0
3,4,4,0,0,1
3,5,4,0,0,1
3,6,4,1,0,0
3,7,4,1,0,0
3,8,4,0,0,1
3,9,4,1,0,0
3,10,4,1,0,0
3,11,4,0,1,0
3,12,4,1,0,0
3,13,4,0,0,1
3,14,4,1,0,0
3,15,4,1,0,0
3,16,4,1,0,0
3,17,4,1,0,0
3,18,4,1,0,0
3,19,4,1,0,0
3,20,4,1,0,0
3,21,4,1,0,0
3,22,4,1,0,0
3,23,4,1,0,0
3,24,4,1,0,0
4,1,4,1,0,0
4,2,4,1,0,0
4,3,4,0,0,1
4,4,4,1,0,0
4,5,4,1,0,0
4,6,4,1,0,0
4,7,4,1,0,0
4,8,4,1,0,0
4,9,4,1,0,0
4,10,4,1,0,0
4,11,4,1,0,0
4,12,4,1,0,0
4,13,4,1,0,0
4,14,4,1,0,0
4,15,4,1,0,0
4,16,4,1,0,0
4,17,4,1,0,0
4,18,4,1,0,0
4,19,4,1,0,0
4,20,4,1,0,0
4,21,4,1,0,0
4,22,4,1,0,0
4,23,4,1,0,0
4,24,4,1,0,0
5,1,4,0,0,1
5,2,4,1,0,0
5,3,4,0,0,1
5,4,4,0,0,1
5,5,4,1,0,0
5,6,4,1,0,0
5,7,4,1,0,0
5,8,4,1,0,0
5,9,4,1,0,0
5,10,4,0,0,1
5,11,4,1,0,0
5,12,4,1,0,0
5,13,4,1,0,0
5,14,4,0,0,1
5,15,4,0,0,1
5,16,4,0,1,0
5,17,4,1,0,0
5,18,4,0,0,1
5,19,4,1,0,0
5,20,4,0,1,0
5,21,4,0,0,1
5,22,4,1,0,0
5,23,4,1,0,0
5,24,4,0,1,0
6,1,4,1,0,0
6,2,4,0,0,1
6,3,4,0,0,1
6,4,4,1,0,0
6,5,4,1,0,0
6,6,4,1,0,0
6,7,4,1,0,0
6,8,4,1,0,0
6,9,4,0,0,1
6,10,4,1,0,0
6,11,4,1,0,0
6,12,4,1,0,0
6,13,4,0,0,1
6,14,4,0,0,1
6,15,4,1,0,0
6,16,4,0,0,1
6,17,4,1,0,0
6,18,4,1,0,0
6,19,4,1,0,0
6,20,4,1,0,0
6,21,4,0,1,0
6,22,4,0,0,1
6,23,4,0,0,1
6,24,4,1,0,0
1,1,6,1,0,0
1,2,6,0,1,0
1,3,6,0,1,0
1,4,6,1,0,0
1,5,6,1,0,0
1,6,6,1,0,0
1,7,6,1,0,0
1,8,6,0,1,0
1,9,6,1,0,0
1,10,6,1,0,0
1,11,6,1,0,0
1,12,6,0,1,0
1,13,6,0,1,0
1,14,6,0,1,0
1,15,6,0,1,0
1,16,6,0,1,0
1,17,6,1,0,0
1,18,6,0,1,0
1,19,6,0,1,0
1,20,6,0,1,0
1,21,6,0,1,0
1,22,6,0,1,0
1,23,6,0,1,0
1,24,6,0,1,0
2,1,6,0,1,0
2,2,6,0,1,0
2,3,6,0,1,0
2,4,6,0,1,0
2,5,6,0,1,0
2,6,6,0,1,0
2,7,6,0,1,0
2,8,6,0,1,0
2,9,6,0,1,0
2,10,6,0,1,0
2,11,6,0,1,0
2,12,6,0,1,0
2,13,6,0,1,0
2,14,6,0,1,0
2,15,6,0,1,0
2,16,6,0,1,0
2,17,6,0,1,0
2,18,6,0,1,0
2,19,6,0,1,0
2,20,6,0,1,0
2,21,6,0,1,0
2,22,6,0,1,0
2,23,6,0,1,0
2,24,6,0,1,0
3,1,6,1,0,0
3,2,6,0,1,0
3,3,6,1,0,0
3,4,6,0,1,0
3,5,6,1,0,0
3,6,6,1,0,0
3,7,6,1,0,0
3,8,6,1,0,0
3,9,6,1,0,0
3,10,6,1,0,0
3,11,6,1,0,0
3,12,6,1,0,0
3,13,6,1,0,0
3,14,6,0,1,0
3,15,6,1,0,0
3,16,6,0,1,0
3,17,6,1,0,0
3,18,6,1,0,0
3,19,6,1,0,0
3,20,6,0,1,0
3,21,6,0,0,1
3,22,6,1,0,0
3,23,6,1,0,0
3,24,6,1,0,0
4,1,6,NA,NA,NA
4,2,6,NA,NA,NA
4,3,6,NA,NA,NA
4,4,6,NA,NA,NA
4,5,6,NA,NA,NA
4,6,6,NA,NA,NA
4,7,6,NA,NA,NA
4,8,6,NA,NA,NA
4,9,6,NA,NA,NA
4,10,6,NA,NA,NA
4,11,6,NA,NA,NA
4,12,6,NA,NA,NA
4,13,6,NA,NA,NA
4,14,6,NA,NA,NA
4,15,6,NA,NA,NA
4,16,6,NA,NA,NA
4,17,6,NA,NA,NA
4,18,6,NA,NA,NA
4,19,6,NA,NA,NA
4,20,6,NA,NA,NA
4,21,6,NA,NA,NA
4,22,6,NA,NA,NA
4,23,6,NA,NA,NA
4,24,6,NA,NA,NA
5,1,6,NA,NA,NA
5,2,6,NA,NA,NA
5,3,6,NA,NA,NA
5,4,6,NA,NA,NA
5,5,6,NA,NA,NA
5,6,6,NA,NA,NA
5,7,6,NA,NA,NA
5,8,6,NA,NA,NA
5,9,6,NA,NA,NA
5,10,6,NA,NA,NA
5,11,6,NA,NA,NA
5,12,6,NA,NA,NA
5,13,6,NA,NA,NA
5,14,6,NA,NA,NA
5,15,6,NA,NA,NA
5,16,6,NA,NA,NA
5,17,6,NA,NA,NA
5,18,6,NA,NA,NA
5,19,6,NA,NA,NA
5,20,6,NA,NA,NA
5,21,6,NA,NA,NA
5,22,6,NA,NA,NA
5,23,6,NA,NA,NA
5,24,6,NA,NA,NA
6,1,6,NA,NA,NA
6,2,6,NA,NA,NA
6,3,6,NA,NA,NA
6,4,6,NA,NA,NA
6,5,6,NA,NA,NA
6,6,6,NA,NA,NA
6,7,6,NA,NA,NA
6,8,6,NA,NA,NA
6,9,6,NA,NA,NA
6,10,6,NA,NA,NA
6,11,6,NA,NA,NA
6,12,6,NA,NA,NA
6,13,6,NA,NA,NA
6,14,6,NA,NA,NA
6,15,6,NA,NA,NA
6,16,6,NA,NA,NA
6,17,6,NA,NA,NA
6,18,6,NA,NA,NA
6,19,6,NA,NA,NA
6,20,6,NA,NA,NA
6,21,6,NA,NA,NA
6,22,6,NA,NA,NA
6,23,6,NA,NA,NA
6,24,6,NA,NA,NA
