ID,bottleneck,timepoint,pfu,cfu,raw,dilution,,,,,,,,,,,,
1,p9,t4,NA,0.00E+00,0,1,,,,,,,,,,,,
2,p9,t4,NA,0.00E+00,0,1,,,,,,,,,,,,
3,p9,t4,NA,0.00E+00,0,1,,,,,,,,,,,,
1,p2,t5,NA,2.80E+08,27,20000000,,,,,,,,,,,,
2,p2,t5,NA,3.00E+08,20,20000000,,,,,,,,,,,,
3,p2,t5,NA,4.20E+08,7,200000000,,,,,,,,,,,,
1,p3,t5,NA,3.60E+08,21,20000000,,,,,,,,,,,,
2,p3,t5,NA,3.60E+09,21,20000000,,,,,,,,,,,,
3,p3,t5,NA,4.80E+08,27,20000000,,,,,,,,,,,,
1,p4,t5,NA,1.20E+08,17,20000000,,,,,,,,,,,,
2,p4,t5,NA,2.60E+08,15,20000000,,,,,,,,,,,,
3,p4,t5,NA,3.20E+08,20,20000000,,,,,,,,,,,,
1,p5,t5,NA,2.80E+08,14,20000000,,,,,,,,,,,,
2,p5,t5,NA,2.80E+08,8,20000000,,,,,,,,,,,,
3,p5,t5,NA,2.80E+08,16,20000000,,,,,,,,,,,,
1,p6,t5,NA,1.80E+08,12,20000000,,,,,,,,,,,,
2,p6,t5,NA,1.40E+08,8,20000000,,,,,,,,,,,,
3,p6,t5,NA,1.00E+08,6,20000000,,,,,,,,,,,,
1,p7,t5,NA,2.40E+06,18,200000,,,,,,,,,,,,
2,p7,t5,NA,6.00E+06,13,200000,,,,,,,,,,,,
3,p7,t5,NA,3.20E+06,17,20000,,,,,,,,,,,,
1,p8,t5,NA,0.00E+00,0,200,,,,,,,,,,,,
2,p8,t5,NA,0.00E+00,0,200,,,,,,,,,,,,
3,p8,t5,NA,0.00E+00,0,200,,,,,,,,,,,,
1,p9,t5,NA,0.00E+00,0,200,,,,,,,,,,,,
2,p9,t5,NA,0.00E+00,0,200,,,,,,,,,,,,
3,p9,t5,NA,0.00E+00,0,200,,,,,,,,,,,,
