ID,Replicate,Bottleneck,Total spacers,Zero,One,Two ,Three ,Four,FiveOrMore,Single,Multiple
.4.17,4,Monoculture,1,0,1,0,0,0,0,1,0
.4.18,4,Monoculture,1,0,1,0,0,0,0,1,0
.4.19,4,Monoculture,1,0,1,0,0,0,0,1,0
.4.20,4,Monoculture,1,0,1,0,0,0,0,1,0
.4.21,4,Monoculture,1,0,1,0,0,0,0,1,0
.4.22,4,Monoculture,1,0,1,0,0,0,0,1,0
.4.23,4,Monoculture,1,0,1,0,0,0,0,1,0
.4.24,4,Monoculture,1,0,1,0,0,0,0,1,0
.5.1,5,Monoculture,1,0,1,0,0,0,0,1,0
.5.2,5,Monoculture,1,0,1,0,0,0,0,1,0
.5.3,5,Monoculture,1,0,1,0,0,0,0,1,0
.5.4,5,Monoculture,1,0,1,0,0,0,0,1,0
.5.5,5,Monoculture,1,0,1,0,0,0,0,1,0
.5.6,5,Monoculture,1,0,1,0,0,0,0,1,0
.5.7,5,Monoculture,1,0,1,0,0,0,0,1,0
.5.8,5,Monoculture,1,0,1,0,0,0,0,1,0
.5.9,5,Monoculture,1,0,1,0,0,0,0,1,0
.5.10,5,Monoculture,1,0,1,0,0,0,0,1,0
.5.11,5,Monoculture,1,0,1,0,0,0,0,1,0
.5.12,5,Monoculture,1,0,1,0,0,0,0,1,0
.5.13,5,Monoculture,1,0,1,0,0,0,0,1,0
.5.14,5,Monoculture,1,0,1,0,0,0,0,1,0
.5.15,5,Monoculture,1,0,1,0,0,0,0,1,0
.5.16,5,Monoculture,1,0,1,0,0,0,0,1,0
.5.17,5,Monoculture,1,0,1,0,0,0,0,1,0
.5.18,5,Monoculture,1,0,1,0,0,0,0,1,0
.5.19,5,Monoculture,1,0,1,0,0,0,0,1,0
.5.20,5,Monoculture,1,0,1,0,0,0,0,1,0
.5.21,5,Monoculture,1,0,1,0,0,0,0,1,0
.5.22,5,Monoculture,1,0,1,0,0,0,0,1,0
.5.23,5,Monoculture,1,0,1,0,0,0,0,1,0
.5.24,5,Monoculture,1,0,1,0,0,0,0,1,0
.6.1,6,Monoculture,1,0,1,0,0,0,0,1,0
.6.2,6,Monoculture,1,0,1,0,0,0,0,1,0
.6.3,6,Monoculture,1,0,1,0,0,0,0,1,0
.6.4,6,Monoculture,1,0,1,0,0,0,0,1,0
.6.5,6,Monoculture,1,0,1,0,0,0,0,1,0
.6.6,6,Monoculture,2,0,0,1,0,0,0,0,1
.6.7,6,Monoculture,0,1,0,0,0,0,0,0,0
.6.8,6,Monoculture,1,0,1,0,0,0,0,1,0
.6.9,6,Monoculture,0,1,0,0,0,0,0,0,0
.6.10,6,Monoculture,1,0,1,0,0,0,0,1,0
.6.11,6,Monoculture,1,0,1,0,0,0,0,1,0
.6.12,6,Monoculture,2,0,0,1,0,0,0,0,1
.6.13,6,Monoculture,2,0,0,1,0,0,0,0,1
.6.14,6,Monoculture,1,0,1,0,0,0,0,1,0
.6.15,6,Monoculture,1,0,1,0,0,0,0,1,0
.6.16,6,Monoculture,2,0,0,1,0,0,0,0,1
.6.17,6,Monoculture,2,0,0,1,0,0,0,0,1
.6.18,6,Monoculture,1,0,1,0,0,0,0,1,0
.6.19,6,Monoculture,1,0,1,0,0,0,0,1,0
.6.20,6,Monoculture,1,0,1,0,0,0,0,1,0
.6.21,6,Monoculture,1,0,1,0,0,0,0,1,0
.6.22,6,Monoculture,1,0,1,0,0,0,0,1,0
.6.23,6,Monoculture,2,0,0,1,0,0,0,0,1
.6.24,6,Monoculture,2,0,0,1,0,0,0,0,1
.1.1,1,5-clone,2,0,0,1,0,0,0,0,1
.1.2,1,5-clone,2,0,0,1,0,0,0,0,1
.1.3,1,5-clone,2,0,0,1,0,0,0,0,1
.1.4,1,5-clone,2,0,0,1,0,0,0,0,1
.1.5,1,5-clone,2,0,0,1,0,0,0,0,1
.1.6,1,5-clone,2,0,0,1,0,0,0,0,1
.1.7,1,5-clone,2,0,0,1,0,0,0,0,1
.1.8,1,5-clone,2,0,0,1,0,0,0,0,1
.1.9,1,5-clone,2,0,0,1,0,0,0,0,1
.1.10,1,5-clone,2,0,0,1,0,0,0,0,1
.1.11,1,5-clone,2,0,0,1,0,0,0,0,1
.1.12,1,5-clone,2,0,0,1,0,0,0,0,1
.1.13,1,5-clone,2,0,0,1,0,0,0,0,1
.1.14,1,5-clone,2,0,0,1,0,0,0,0,1
.1.15,1,5-clone,2,0,0,1,0,0,0,0,1
.1.16,1,5-clone,2,0,0,1,0,0,0,0,1
.1.17,1,5-clone,2,0,0,1,0,0,0,0,1
.1.18,1,5-clone,2,0,0,1,0,0,0,0,1
.1.19,1,5-clone,2,0,0,1,0,0,0,0,1
.1.20,1,5-clone,2,0,0,1,0,0,0,0,1
.1.21,1,5-clone,2,0,0,1,0,0,0,0,1
.1.22,1,5-clone,2,0,0,1,0,0,0,0,1
.1.23,1,5-clone,2,0,0,1,0,0,0,0,1
.1.24,1,5-clone,2,0,0,1,0,0,0,0,1
.2.1,2,5-clone,1,0,1,0,0,0,0,1,0
.2.2,2,5-clone,1,0,1,0,0,0,0,1,0
.2.3,2,5-clone,1,0,1,0,0,0,0,1,0
.2.4,2,5-clone,1,0,1,0,0,0,0,1,0
.2.5,2,5-clone,1,0,1,0,0,0,0,1,0
.2.6,2,5-clone,0,1,0,0,0,0,0,0,0
.2.7,2,5-clone,1,0,1,0,0,0,0,1,0
.2.8,2,5-clone,1,0,1,0,0,0,0,1,0
.2.9,2,5-clone,1,0,1,0,0,0,0,1,0
.2.10,2,5-clone,0,1,0,0,0,0,0,0,0
.2.11,2,5-clone,1,0,1,0,0,0,0,1,0
.2.12,2,5-clone,0,1,0,0,0,0,0,0,0
.2.13,2,5-clone,0,1,0,0,0,0,0,0,0
.2.14,2,5-clone,0,1,0,0,0,0,0,0,0
.2.15,2,5-clone,0,1,0,0,0,0,0,0,0
.2.16,2,5-clone,0,1,0,0,0,0,0,0,0
.2.17,2,5-clone,1,0,1,0,0,0,0,1,0
.2.18,2,5-clone,1,0,1,0,0,0,0,1,0
.2.19,2,5-clone,0,1,0,0,0,0,0,0,0
.2.20,2,5-clone,1,0,1,0,0,0,0,1,0
.2.21,2,5-clone,0,1,0,0,0,0,0,0,0
.2.22,2,5-clone,1,0,1,0,0,0,0,1,0
.2.23,2,5-clone,0,1,0,0,0,0,0,0,0
.2.24,2,5-clone,0,1,0,0,0,0,0,0,0
.3.1,3,5-clone,1,0,1,0,0,0,0,1,0
.3.2,3,5-clone,1,0,1,0,0,0,0,1,0
.3.3,3,5-clone,1,0,1,0,0,0,0,1,0
.3.4,3,5-clone,1,0,1,0,0,0,0,1,0
.3.5,3,5-clone,1,0,1,0,0,0,0,1,0
.3.6,3,5-clone,2,0,0,1,0,0,0,0,1
.3.7,3,5-clone,1,0,1,0,0,0,0,1,0
.3.8,3,5-clone,1,0,1,0,0,0,0,1,0
.3.9,3,5-clone,1,0,1,0,0,0,0,1,0
.3.10,3,5-clone,1,0,1,0,0,0,0,1,0
.3.11,3,5-clone,1,0,1,0,0,0,0,1,0
.3.12,3,5-clone,1,0,1,0,0,0,0,1,0
.3.13,3,5-clone,1,0,1,0,0,0,0,1,0
.3.14,3,5-clone,1,0,1,0,0,0,0,1,0
.3.15,3,5-clone,1,0,1,0,0,0,0,1,0
.3.16,3,5-clone,1,0,1,0,0,0,0,1,0
.3.17,3,5-clone,1,0,1,0,0,0,0,1,0
.3.18,3,5-clone,1,0,1,0,0,0,0,1,0
.3.19,3,5-clone,1,0,1,0,0,0,0,1,0
.3.20,3,5-clone,1,0,1,0,0,0,0,1,0
.3.21,3,5-clone,1,0,1,0,0,0,0,1,0
.3.22,3,5-clone,1,0,1,0,0,0,0,1,0
.3.23,3,5-clone,1,0,1,0,0,0,0,1,0
.3.24,3,5-clone,1,0,1,0,0,0,0,1,0
.4.1,4,5-clone,3,0,0,0,1,0,0,0,1
.4.2,4,5-clone,2,0,0,1,0,0,0,0,1
.4.3,4,5-clone,2,0,0,1,0,0,0,0,1
.4.4,4,5-clone,2,0,0,1,0,0,0,0,1
.4.5,4,5-clone,2,0,0,1,0,0,0,0,1
.4.6,4,5-clone,2,0,0,1,0,0,0,0,1
.4.7,4,5-clone,2,0,0,1,0,0,0,0,1
.4.8,4,5-clone,2,0,0,1,0,0,0,0,1
.4.9,4,5-clone,2,0,0,1,0,0,0,0,1
.4.10,4,5-clone,3,0,0,0,1,0,0,0,1
.4.11,4,5-clone,2,0,0,1,0,0,0,0,1
.4.12,4,5-clone,2,0,0,1,0,0,0,0,1
.4.13,4,5-clone,2,0,0,1,0,0,0,0,1
.4.14,4,5-clone,2,0,0,1,0,0,0,0,1
.4.15,4,5-clone,2,0,0,1,0,0,0,0,1
.4.16,4,5-clone,2,0,0,1,0,0,0,0,1
.4.17,4,5-clone,2,0,0,1,0,0,0,0,1
.4.18,4,5-clone,2,0,0,1,0,0,0,0,1
.4.19,4,5-clone,2,0,0,1,0,0,0,0,1
.4.20,4,5-clone,3,0,0,0,1,0,0,0,1
.4.21,4,5-clone,2,0,0,1,0,0,0,0,1
.4.22,4,5-clone,2,0,0,1,0,0,0,0,1
.4.23,4,5-clone,2,0,0,1,0,0,0,0,1
.4.24,4,5-clone,2,0,0,1,0,0,0,0,1
.5.1,5,5-clone,1,0,1,0,0,0,0,1,0
.5.2,5,5-clone,1,0,1,0,0,0,0,1,0
.5.3,5,5-clone,1,0,1,0,0,0,0,1,0
.5.4,5,5-clone,1,0,1,0,0,0,0,1,0
.5.5,5,5-clone,1,0,1,0,0,0,0,1,0
.5.6,5,5-clone,1,0,1,0,0,0,0,1,0
.5.7,5,5-clone,1,0,1,0,0,0,0,1,0
.5.8,5,5-clone,1,0,1,0,0,0,0,1,0
.5.9,5,5-clone,1,0,1,0,0,0,0,1,0
.5.10,5,5-clone,1,0,1,0,0,0,0,1,0
.5.11,5,5-clone,1,0,1,0,0,0,0,1,0
.5.12,5,5-clone,1,0,1,0,0,0,0,1,0
.5.13,5,5-clone,1,0,1,0,0,0,0,1,0
.5.14,5,5-clone,1,0,1,0,0,0,0,1,0
.5.15,5,5-clone,1,0,1,0,0,0,0,1,0
.5.16,5,5-clone,1,0,1,0,0,0,0,1,0
.5.17,5,5-clone,1,0,1,0,0,0,0,1,0
.5.18,5,5-clone,1,0,1,0,0,0,0,1,0
.5.19,5,5-clone,1,0,1,0,0,0,0,1,0
.5.20,5,5-clone,1,0,1,0,0,0,0,1,0
.5.21,5,5-clone,1,0,1,0,0,0,0,1,0
.5.22,5,5-clone,1,0,1,0,0,0,0,1,0
.5.23,5,5-clone,1,0,1,0,0,0,0,1,0
.5.24,5,5-clone,1,0,1,0,0,0,0,1,0
.6.1,6,5-clone,1,0,1,0,0,0,0,1,0
.6.2,6,5-clone,1,0,1,0,0,0,0,1,0
.6.3,6,5-clone,1,0,1,0,0,0,0,1,0
.6.4,6,5-clone,1,0,1,0,0,0,0,1,0
.6.5,6,5-clone,1,0,1,0,0,0,0,1,0
.6.6,6,5-clone,1,0,1,0,0,0,0,1,0
.6.7,6,5-clone,1,0,1,0,0,0,0,1,0
.6.8,6,5-clone,1,0,1,0,0,0,0,1,0
.6.9,6,5-clone,1,0,1,0,0,0,0,1,0
.6.10,6,5-clone,3,0,0,0,1,0,0,0,1
.6.11,6,5-clone,1,0,1,0,0,0,0,1,0
.6.12,6,5-clone,1,0,1,0,0,0,0,1,0
.6.13,6,5-clone,1,0,1,0,0,0,0,1,0
.6.14,6,5-clone,0,1,0,0,0,0,0,0,0
.6.15,6,5-clone,1,0,1,0,0,0,0,1,0
.6.16,6,5-clone,1,0,1,0,0,0,0,1,0
.6.17,6,5-clone,3,0,0,0,1,0,0,0,1
.6.18,6,5-clone,3,0,0,0,1,0,0,0,1
.6.19,6,5-clone,1,0,1,0,0,0,0,1,0
.6.20,6,5-clone,3,0,0,0,1,0,0,0,1
.6.21,6,5-clone,1,0,1,0,0,0,0,1,0
.6.22,6,5-clone,1,0,1,0,0,0,0,1,0
.6.23,6,5-clone,1,0,1,0,0,0,0,1,0
.6.24,6,5-clone,1,0,1,0,0,0,0,1,0
.1.1,1,50-clone,2,0,0,1,0,0,0,0,1
.1.2,1,50-clone,2,0,0,1,0,0,0,0,1
.1.3,1,50-clone,3,0,0,0,1,0,0,0,1
.1.4,1,50-clone,2,0,0,1,0,0,0,0,1
.1.5,1,50-clone,3,0,0,0,1,0,0,0,1
.1.6,1,50-clone,1,0,1,0,0,0,0,1,0
.1.7,1,50-clone,2,0,0,1,0,0,0,0,1
.1.8,1,50-clone,2,0,0,1,0,0,0,0,1
.1.9,1,50-clone,2,0,0,1,0,0,0,0,1
.1.10,1,50-clone,2,0,0,1,0,0,0,0,1
.1.11,1,50-clone,2,0,0,1,0,0,0,0,1
.1.12,1,50-clone,1,0,1,0,0,0,0,1,0
.1.13,1,50-clone,2,0,0,1,0,0,0,0,1
.1.14,1,50-clone,1,0,1,0,0,0,0,1,0
.1.15,1,50-clone,1,0,1,0,0,0,0,1,0
.1.16,1,50-clone,1,0,1,0,0,0,0,1,0
.1.17,1,50-clone,2,0,0,1,0,0,0,0,1
.1.18,1,50-clone,2,0,0,1,0,0,0,0,1
.1.19,1,50-clone,2,0,0,1,0,0,0,0,1
.1.20,1,50-clone,1,0,1,0,0,0,0,1,0
.1.21,1,50-clone,1,0,1,0,0,0,0,1,0
.1.22,1,50-clone,1,0,1,0,0,0,0,1,0
.1.23,1,50-clone,2,0,0,1,0,0,0,0,1
.1.24,1,50-clone,2,0,0,1,0,0,0,0,1
.2.1,2,50-clone,2,0,0,1,0,0,0,0,1
.2.2,2,50-clone,1,0,1,0,0,0,0,1,0
.2.3,2,50-clone,1,0,1,0,0,0,0,1,0
.2.4,2,50-clone,1,0,1,0,0,0,0,1,0
.2.5,2,50-clone,1,0,1,0,0,0,0,1,0
.2.6,2,50-clone,1,0,1,0,0,0,0,1,0
.2.7,2,50-clone,1,0,1,0,0,0,0,1,0
.2.8,2,50-clone,1,0,1,0,0,0,0,1,0
.2.9,2,50-clone,1,0,1,0,0,0,0,1,0
.2.10,2,50-clone,0,1,0,0,0,0,0,0,0
.2.11,2,50-clone,NA,0,0,0,0,0,1,0,1
.2.12,2,50-clone,1,0,1,0,0,0,0,1,0
.2.13,2,50-clone,1,0,1,0,0,0,0,1,0
.2.14,2,50-clone,1,0,1,0,0,0,0,1,0
.2.15,2,50-clone,1,0,1,0,0,0,0,1,0
.2.16,2,50-clone,1,0,1,0,0,0,0,1,0
.2.17,2,50-clone,1,0,1,0,0,0,0,1,0
.2.18,2,50-clone,NA,0,0,0,0,0,1,0,1
.2.19,2,50-clone,NA,0,0,0,0,0,1,0,1
.2.20,2,50-clone,NA,0,0,0,0,0,1,0,1
.2.21,2,50-clone,NA,0,0,0,0,0,1,0,1
.2.22,2,50-clone,NA,0,0,0,0,0,1,0,1
.2.23,2,50-clone,NA,0,0,0,0,0,1,0,1
.2.24,2,50-clone,NA,0,0,0,0,0,1,0,1
.3.1,3,50-clone,2,0,0,1,0,0,0,0,1
.3.2,3,50-clone,1,0,1,0,0,0,0,1,0
.3.3,3,50-clone,1,0,1,0,0,0,0,1,0
.3.4,3,50-clone,0,1,0,0,0,0,0,0,0
.3.5,3,50-clone,0,1,0,0,0,0,0,0,0
.3.6,3,50-clone,1,0,1,0,0,0,0,1,0
.3.7,3,50-clone,1,0,1,0,0,0,0,1,0
.3.8,3,50-clone,1,0,1,0,0,0,0,1,0
.3.9,3,50-clone,1,0,1,0,0,0,0,1,0
.3.10,3,50-clone,1,0,1,0,0,0,0,1,0
.3.11,3,50-clone,2,0,0,1,0,0,0,0,1
.3.12,3,50-clone,1,0,1,0,0,0,0,1,0
.3.13,3,50-clone,0,1,0,0,0,0,0,0,0
.3.14,3,50-clone,1,0,1,0,0,0,0,1,0
.3.15,3,50-clone,0,1,0,0,0,0,0,0,0
.3.16,3,50-clone,1,0,1,0,0,0,0,1,0
.3.17,3,50-clone,2,0,0,1,0,0,0,0,1
.3.18,3,50-clone,1,0,1,0,0,0,0,1,0
.3.19,3,50-clone,1,0,1,0,0,0,0,1,0
.3.20,3,50-clone,2,0,0,1,0,0,0,0,1
.3.21,3,50-clone,2,0,0,1,0,0,0,0,1
.3.22,3,50-clone,0,1,0,0,0,0,0,0,0
.3.23,3,50-clone,2,0,0,1,0,0,0,0,1
.3.24,3,50-clone,2,0,0,1,0,0,0,0,1
.4.1,4,50-clone,1,0,1,0,0,0,0,1,0
.4.2,4,50-clone,2,0,0,1,0,0,0,0,1
.4.3,4,50-clone,1,0,1,0,0,0,0,1,0
.4.4,4,50-clone,1,0,1,0,0,0,0,1,0
.4.5,4,50-clone,1,0,1,0,0,0,0,1,0
.4.6,4,50-clone,1,0,1,0,0,0,0,1,0
.4.7,4,50-clone,1,0,1,0,0,0,0,1,0
.4.8,4,50-clone,1,0,1,0,0,0,0,1,0
.4.9,4,50-clone,1,0,1,0,0,0,0,1,0
.4.10,4,50-clone,1,0,1,0,0,0,0,1,0
.4.11,4,50-clone,2,0,0,1,0,0,0,0,1
.4.12,4,50-clone,1,0,1,0,0,0,0,1,0
.4.13,4,50-clone,1,0,1,0,0,0,0,1,0
.4.14,4,50-clone,1,0,1,0,0,0,0,1,0
.4.15,4,50-clone,1,0,1,0,0,0,0,1,0
.4.16,4,50-clone,2,0,0,1,0,0,0,0,1
.4.17,4,50-clone,1,0,1,0,0,0,0,1,0
.4.18,4,50-clone,1,0,1,0,0,0,0,1,0
.4.19,4,50-clone,1,0,1,0,0,0,0,1,0
.4.20,4,50-clone,2,0,0,1,0,0,0,0,1
.4.21,4,50-clone,2,0,0,1,0,0,0,0,1
.4.22,4,50-clone,1,0,1,0,0,0,0,1,0
.4.23,4,50-clone,1,0,1,0,0,0,0,1,0
.4.24,4,50-clone,1,0,1,0,0,0,0,1,0
.5.1,5,50-clone,2,0,0,1,0,0,0,0,1
.5.2,5,50-clone,4,0,0,0,0,1,0,0,1
.5.3,5,50-clone,3,0,0,0,1,0,0,0,1
.5.4,5,50-clone,1,0,1,0,0,0,0,1,0
.5.5,5,50-clone,4,0,0,0,0,1,0,0,1
.5.6,5,50-clone,4,0,0,0,0,1,0,0,1
.5.7,5,50-clone,3,0,0,0,1,0,0,0,1
.5.8,5,50-clone,2,0,0,1,0,0,0,0,1
.5.9,5,50-clone,5,0,0,0,0,0,1,0,1
.5.10,5,50-clone,7,0,0,0,0,0,1,0,1
.5.11,5,50-clone,1,0,1,0,0,0,0,1,0
.5.12,5,50-clone,1,0,1,0,0,0,0,1,0
.5.13,5,50-clone,2,0,0,1,0,0,0,0,1
.5.14,5,50-clone,2,0,0,1,0,0,0,0,1
.5.15,5,50-clone,4,0,0,0,0,1,0,0,1
.5.16,5,50-clone,2,0,0,1,0,0,0,0,1
.5.17,5,50-clone,4,0,0,0,0,1,0,0,1
.5.18,5,50-clone,0,1,0,0,0,0,0,0,0
.5.19,5,50-clone,2,0,0,1,0,0,0,0,1
.5.20,5,50-clone,0,1,0,0,0,0,0,0,0
.5.21,5,50-clone,5,0,0,0,0,0,1,0,1
.5.22,5,50-clone,2,0,0,1,0,0,0,0,1
.5.23,5,50-clone,5,0,0,0,0,0,1,0,1
.5.24,5,50-clone,7,0,0,0,0,0,1,0,1
.6.1,6,50-clone,1,0,1,0,0,0,0,1,0
.6.2,6,50-clone,1,0,1,0,0,0,0,1,0
.6.3,6,50-clone,1,0,1,0,0,0,0,1,0
.6.4,6,50-clone,1,0,1,0,0,0,0,1,0
.6.5,6,50-clone,1,0,1,0,0,0,0,1,0
.6.6,6,50-clone,1,0,1,0,0,0,0,1,0
.6.7,6,50-clone,1,0,1,0,0,0,0,1,0
.6.8,6,50-clone,1,0,1,0,0,0,0,1,0
.6.9,6,50-clone,1,0,1,0,0,0,0,1,0
.6.10,6,50-clone,1,0,1,0,0,0,0,1,0
.6.11,6,50-clone,1,0,1,0,0,0,0,1,0
.6.12,6,50-clone,1,0,1,0,0,0,0,1,0
.6.13,6,50-clone,1,0,1,0,0,0,0,1,0
.6.14,6,50-clone,2,0,0,1,0,0,0,0,1
.6.15,6,50-clone,3,0,0,0,1,0,0,0,1
.6.16,6,50-clone,1,0,1,0,0,0,0,1,0
.6.17,6,50-clone,1,0,1,0,0,0,0,1,0
.6.18,6,50-clone,1,0,1,0,0,0,0,1,0
.6.19,6,50-clone,1,0,1,0,0,0,0,1,0
.6.20,6,50-clone,1,0,1,0,0,0,0,1,0
.6.21,6,50-clone,1,0,1,0,0,0,0,1,0
.6.22,6,50-clone,1,0,1,0,0,0,0,1,0
.6.23,6,50-clone,1,0,1,0,0,0,0,1,0
.6.24,6,50-clone,1,0,1,0,0,0,0,1,0
